Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Testcase Result),Custom field (Text Level),Custom field (Text Steps),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
IPF10 - Register an account - Check Your Email,N2-47,10282,Story,To Do,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:38 AM,05/Jan/23 10:50 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,you need to enter email information,,Công Vũ,62999f181648f2006963b487,,,,,,,,,no error message is displayed,,,,,,,,,,,,,,"show an error:""vui lòng nhập địa chỉ  email""",,,,,0|i001pz:,,,,,,,,,,Pass,Integration,"-Emails must not include trailing spaces
-Emails must not have leading spaces",,,To Do
EA31 - Verify password field - The password entered must have a capital character,N2-46,10281,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:36 AM,05/Jan/23 2:58 PM,05/Jan/23 2:57 PM,,,0,EditAccount,,"If the password entered must not contain a capital letter, an error message will be displayed

test data:”

ccccc2334!!!!!

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,,,,,,N2-3,Edit account,,,"show an error ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,0|i001pr:,,,,,,,,,,Fail,Unit,"1)enter a password without a capital letter
2)click button('xác nhận )",,,To Do
AL30- Verify password field- The password entered must have a capital character,N2-45,10280,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:35 AM,05/Jan/23 2:57 PM,05/Jan/23 2:57 PM,,,0,AccountLogin,,"If the password entered must not contain a capital letter, an error message will be displayed

test data:”

ccccc2334!!!!!

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,,,,,,N2-2,Account login,,,"show an error ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,0|i001pj:,,,,,,,,,,Fail,Unit,"1)enter a password without a capital letter
2)click button('xác nhận )",,,To Do
RA29- Verify password field - The password entered must have a capital character,N2-44,10279,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:34 AM,05/Jan/23 2:57 PM,05/Jan/23 2:56 PM,,,0,RegisterAnAccount,,"If the password entered must not contain a capital letter, an error message will be displayed

test data:”

ccccc2334!!!!!

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,,,,,,N2-1,Register an account,,,"show an error ""mật khẩu phải có ít nhất một ký tự in Hoa""",,,,,0|i001pb:,,N2 Sprint 1,,,,,,,,Fail,Unit,"1)enter a password without a capital letter
2)click button",,,To Do
IPF09 - Register an account - Shop,N2-43,10278,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:28 AM,05/Jan/23 10:52 AM,22/Mar/23 4:28 PM,05/Jan/23 10:52 AM,,0,RegisterAnAccount,,"If you choose to buy any product on the homepage, the product will be moved to the shopping cart",,Công Vũ,62999f181648f2006963b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001p3:,,N2 Sprint 1,,,,,,,,Pass,Integration,"the products can customize the number of products for the user
If your cart is over 569,000vnd, you will get free shipping
",,,Done
IPF08 - Register an account - Discount code,N2-42,10277,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:27 AM,05/Jan/23 10:52 AM,22/Mar/23 4:28 PM,05/Jan/23 10:52 AM,,0,RegisterAnAccount,,"If you buy a product you will get accumulated points, the accumulated points will reduce the product price",,Công Vũ,62999f181648f2006963b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001ov:,,N2 Sprint 1,,,,,,,,Pass,Integration,"10,000 VND is equivalent to 1 point",,,Done
IPF07 - Register an account - Change Password,N2-41,10276,Story,To Do,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:25 AM,05/Jan/23 10:25 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,h2. Change the password including the character,,Công Vũ,62999f181648f2006963b487,,,,,,,,,"An error message was displayed:""Vui lòng nhập đúng với định dạng được yêu cầu""",,,,,,,,,,,,,,"Please do not re-enter the old password.
New password contains characters, special characters, numbers, no spaces

",,,,,0|i001on:,,N2 Sprint 1,,,,,,,,Pass,Integration,"1) enter change password
2)click button('Confirm"")
Expected Result
",,,To Do
IPF06 - Register an account - Address,N2-40,10275,Story,To Do,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:23 AM,05/Jan/23 10:23 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,"h2. If you enter an address that does not contain any characters, an error message will be displayed

h2. test data:”

h2. address a number , character

h2. Text Steps",,Công Vũ,62999f181648f2006963b487,,,,,,,,,no error message is displayed,,,,,,,,,,,,,,"show an error:""vui lòng nhập địa chỉ """,,,,,0|i001of:,,N2 Sprint 1,,,,,,,,Pass,Integration,,,,To Do
AL28- Verify password field - Password length should not exceed 32 characters,N2-39,10274,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:22 AM,05/Jan/23 2:56 PM,05/Jan/23 2:56 PM,,,0,AccountLogin,,"if the password length is more than 32 characters, an error message is displayed

test data:”

123214646798a!dfsfsfsfsfsfsfffffffffffffffffffffffffffffffffffffffffffffffffsffffffffffffffffffffffffffflllllllllllllllllllllllllllllllllllllllllllll

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed:""Độ dài mật khẩu không quá 32 ký tự""",,,,,,,,,,N2-2,Account login,,,"show an error:""Độ dài mật khẩu không quá 32 ký tự""",,,,,0|i001o7:,,,,,,,,,,Fail,Unit,"1)enter password field more than 32 characters
2)click button('Đăng ký')",,,To Do
EA27 - Verify password field - enter the password field with at least one number,N2-38,10273,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:21 AM,05/Jan/23 2:56 PM,05/Jan/23 2:55 PM,,,0,EditAccount,,"If the password entered does not contain any special characters, an error message will be displayed

test data:”

123214646798a

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed:""vui lòng nhập mật khẩu có ít nhất một số",,,,,,,,,,N2-3,Edit account,,,"show an error:""vui lòng nhập mật khẩu có ít nhất một số""",,,,,0|i001nz:,,,,,,,,,,Fail,Unit,"1)enter the password field with at least one number
2)click button('Đăng ký')",,,To Do
IPF05 - Register an account - Confirm Email,N2-37,10272,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:21 AM,05/Jan/23 10:21 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,"h2. If you enter too many characters when confirming the email, the system will not work

test data:'



ewareawtweataewtewa@gmail.com",enter email with too many character,Công Vũ,62999f181648f2006963b487,,,,,,,,,,,,,,,,,,,,,,,could not connect,,,,,0|i001nr:,,N2 Sprint 1,,,,,,,,Pass,Integration,,,,To Do
AL26 - Verify password - Imported imports must contain at least one special character,N2-36,10271,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:20 AM,05/Jan/23 2:55 PM,05/Jan/23 2:55 PM,,,0,AccountLogin,,"If the password entered does not contain any special characters, an error message will be displayed

test data:”

123214646798a

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed:""vui lòng nhập mật khẩu có ít nhất một ký tự đặc biệt""",,,,,,,,,,N2-2,Account login,,,"show an error:""vui lòng nhập mật khẩu có ít nhất một ký tự đặc biệt""",,,,,0|i001nj:,,,,,,,,,,Fail,Unit,"1)enter the password field with at least one special character
2)click button('xác nhận thay đổi'')",,,To Do
IPF04 - Register an account - Password when registering,N2-35,10270,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:18 AM,05/Jan/23 10:18 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,h2. You have to enter information to register,,Công Vũ,62999f181648f2006963b487,,,,,,,,,,,,,,,,,,,,,,,"show an error""Vui lòng nhập đúng với định dạng được yêu cầu""",,,,,0|i001nb:,,N2 Sprint 1,,,,,,,,Pass,Integration,"1)	password no more than 15 characters
2)	Password does not include special characters
3)	password does not include spaces
",,,To Do
EA26 - Verify password field- Password must have at least one character,N2-34,10269,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:18 AM,05/Jan/23 2:55 PM,05/Jan/23 2:54 PM,,,0,EditAccount,,"If the password entered has no characters, an error message will be displayed

test data:”

123214646798

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed:""vui lòng nhập mật khẩu có ít nhất một ký tự""",,,,,,,,,,N2-3,Edit account,,,"show an error:""vui lòng nhập mật khẩu có ít nhất một ký tự""",,,,,0|i001n3:,,,,,,,,,,Fail,Unit,"1)enter the password field without any characters
2)click button('xác nhận thay đổi')",,,To Do
IPF03 - Register an account - First and last name when registering,N2-33,10268,Story,To Do,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:16 AM,05/Jan/23 10:16 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,h2. You have to enter information to register,,Công Vũ,62999f181648f2006963b487,,,,,,,,,,,,,,,,,,,,,,,"show an error""Vui lòng nhập đúng với định dạng được yêu cầu""",,,,,0|i001mv:,,,,,,,,,,Pass,Integration,"1)	your name does not include numbers
2)	Your name contains spaces
3)	your name does not include special characters
",,,To Do
EA25 - Verify password field - must be at least 8 characters long,N2-32,10267,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:15 AM,05/Jan/23 2:54 PM,05/Jan/23 2:53 PM,,,0,EditAccount,,"If the length is less than 8 characters, an error message will be displayed

test data:”1”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed:""""vui lòng nhập mật khẩu với độ dài ít nhất 8 ký tự",,,,,,,,,,N2-3,Edit account,,,"show an error:""vui lòng nhập mật khẩu với độ dài ít nhất 8 ký tự""",,,,,0|i001mn:,,,,,,,,,,Fail,Unit,"1)enter a password field with a length of less than 8 characters
2)click button('Đăng ký')",,,To Do
IPF02 - Register an account - Email when registering,N2-31,10266,Story,To Do,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:14 AM,05/Jan/23 10:14 AM,22/Mar/23 4:28 PM,,,0,RegisterAnAccount,,h2. You have to enter information to register,,Công Vũ,62999f181648f2006963b487,,,,,,,,,This email already exists in the system,,,,,,,,,,,,,,"show an error""Vui lòng nhập đúng với định dạng được yêu cầu""",,,,,0|i001mf:,,N2 Sprint 1,,,,,,,,Pass,Integration,"1)	Email up to 30 characters
2)	email address including characters and special characters
",,,To Do
EA25 - Verify email field - Enter invalid email address,N2-30,10265,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:12 AM,05/Jan/23 2:53 PM,05/Jan/23 2:53 PM,05/Jan/23 10:13 AM,,0,EditAccount,,"Enter invalid email address error message,

test data:

“

thientrile@t

“",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"An error message was displayed:""Vui lòng nhập đúng định dạng email""",,,,,,,,,,N2-3,Edit account,,,"show error message:""Vui lòng nhập đúng định dạng email""",,,,,0|i001m7:,,N2 Sprint 1,,,,,,,,Pass,Unit,"1)Enter the missing email address
2)click button('đăng ký')",,,Done
EA24 - Verify email field - Enter email without @ character,N2-29,10264,Story,Done,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,Done,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 10:07 AM,05/Jan/23 2:53 PM,05/Jan/23 2:52 PM,05/Jan/23 10:13 AM,,0,EditAccount,,"If you enter an email without the @ character, you will see an error message

test data:'

thientrile

'",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"An error message was displayed:Vui lòng ""@"" trong địa chỉ email, ""thientrile"" thiếu một ""@""'",,,,,,,,,,N2-3,Edit account,,,"show an error:'Vui lòng ""@"" trong địa chỉ email, ""thientrile"" thiếu một ""@""'",,,,,0|i001lz:,,,,,,,,,,Pass,Unit,"1)Enter email without @ character
2)Click button('gửi mã xác nhận')",,,Done
IPF01 - Register an account - Phone number when registering,N2-28,10263,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,Công Vũ,62999f181648f2006963b487,05/Jan/23 10:06 AM,05/Jan/23 10:14 AM,05/Jan/23 10:09 AM,,,0,RegisterAnAccount,,h2. You have to enter information to register,,Công Vũ,62999f181648f2006963b487,,,,,,,,,,,,,,,,,,,,,,,"show an error""Vui lòng nhập đúng với định dạng được yêu cầu""",,,,,0|i001lr:,,N2 Sprint 1,,,,,,,,Pass,Integration,"1)	you need to enter phone number
2)	phone number consists of 10 characters
",,,To Do
EA23 -  Password field-Password length should not exceed 32 characters,N2-27,10262,Bug,Open,N2,N2_CD21CT2,software,Thiện Phạm,62995eea1648f20069638f9a,,Medium,,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,05/Jan/23 9:49 AM,05/Jan/23 2:52 PM,05/Jan/23 2:51 PM,,,0,EditAccount,,"if the password length is more than 32 characters, an error message is displayed

test data:”

123214646798a!dfsfsfsfsfsfsfffffffffffffffffffffffffffffffffffffffffffffffffsffffffffffffffffffffffffffflllllllllllllllllllllllllllllllllllllllllllll

”",,LÊ THIÊN TRÍ,62995c319c88e7006fb6e9dd,,,,,,,,,"no error message is displayed:""Độ dài mật khẩu không quá 32 ký tự""",,,,,,,,,,N2-3,Edit account,,,"show an error:""Độ dài mật khẩu không quá 32 ký tự""",,,,,0|i001lj:,,,,,,,,,,Fail,Unit,"1)enter password field more than 32 characters
2)click button('Đăng ký')",,,To Do
